,P,Exp P,Log P,Log Exp P
168,0.559860191143745,0.5173913043478261,0.252,0.286
88,0.563010838206503,0.5217391304347826,0.249,0.283
148,0.567889063918588,0.5260869565217391,0.246,0.279
170,0.574772667863096,0.5304347826086957,0.241,0.275
132,0.579009323284343,0.5347826086956522,0.237,0.272
78,0.591632612846637,0.5391304347826087,0.228,0.268
40,0.593435473468088,0.5434782608695652,0.227,0.265
224,0.59663653497974,0.5478260869565217,0.224,0.261
207,0.598399074824769,0.5521739130434783,0.223,0.258
139,0.602022950624456,0.5565217391304348,0.22,0.255
220,0.607767497147284,0.5608695652173913,0.216,0.251
161,0.608592042163766,0.5652173913043478,0.216,0.248
22,0.61120665954351,0.5695652173913044,0.214,0.244
13,0.611740233962174,0.5739130434782609,0.213,0.241
208,0.613304695983746,0.5782608695652174,0.212,0.238
102,0.613916439717108,0.5826086956521739,0.212,0.235
117,0.618385850922892,0.5869565217391305,0.209,0.231
201,0.619355740613759,0.591304347826087,0.208,0.228
192,0.621764420002213,0.5956521739130435,0.206,0.225
124,0.624571671612091,0.6,0.204,0.222
200,0.627464052268052,0.6043478260869565,0.202,0.219
121,0.629580571725918,0.6086956521739131,0.201,0.216
79,0.632644519262546,0.6130434782608696,0.199,0.213
25,0.633042675128478,0.6173913043478261,0.199,0.209
47,0.634054603571155,0.6217391304347826,0.198,0.206
87,0.636008335300373,0.6260869565217392,0.197,0.203
50,0.637244030176404,0.6304347826086957,0.196,0.2
131,0.64377316531556,0.6347826086956522,0.191,0.197
18,0.646580494681348,0.6391304347826087,0.189,0.194
70,0.647087879895299,0.6434782608695652,0.189,0.191
52,0.651396048596176,0.6478260869565218,0.186,0.189
101,0.653233952261768,0.6521739130434783,0.185,0.186
204,0.65698785661154,0.6565217391304348,0.182,0.183
188,0.669206885788729,0.6608695652173913,0.174,0.18
83,0.679451537251008,0.6652173913043479,0.168,0.177
150,0.684371545252221,0.6695652173913044,0.165,0.174
137,0.685884659406819,0.6739130434782609,0.164,0.171
112,0.688554945593675,0.6782608695652174,0.162,0.169
151,0.689482015004512,0.6826086956521739,0.161,0.166
41,0.691122190174304,0.6869565217391305,0.16,0.163
36,0.70354682189097,0.691304347826087,0.153,0.16
20,0.714433514178499,0.6956521739130435,0.146,0.158
81,0.71504907391755,0.7,0.146,0.155
179,0.717048809479262,0.7043478260869566,0.144,0.152
214,0.717831576905657,0.7086956521739131,0.144,0.15
159,0.718020894741521,0.7130434782608696,0.144,0.147
166,0.718109488273804,0.717391304347826,0.144,0.144
24,0.721949690810501,0.7217391304347827,0.141,0.142
217,0.722621386486511,0.7260869565217392,0.141,0.139
108,0.725367836566645,0.7304347826086957,0.139,0.136
90,0.728967393359079,0.7347826086956522,0.137,0.134
193,0.744196482219175,0.7391304347826086,0.128,0.131
172,0.745507549675527,0.7434782608695653,0.128,0.129
135,0.753242541264934,0.7478260869565218,0.123,0.126
51,0.753635312060107,0.7521739130434782,0.123,0.124
226,0.760782327651013,0.7565217391304347,0.119,0.121
37,0.778822254360641,0.7608695652173914,0.109,0.119
171,0.780831653913013,0.7652173913043478,0.107,0.116
186,0.782978332972716,0.7695652173913043,0.106,0.114
66,0.789390024143014,0.7739130434782608,0.103,0.111
165,0.790227554278816,0.7782608695652173,0.102,0.109
130,0.790693880110445,0.782608695652174,0.102,0.106
14,0.797508113182924,0.7869565217391304,0.098,0.104
105,0.803320013229575,0.7913043478260869,0.095,0.102
67,0.809482171855558,0.7956521739130434,0.092,0.099
211,0.809747887017689,0.8,0.092,0.097
7,0.810050175661548,0.8043478260869565,0.091,0.095
11,0.812031109740396,0.808695652173913,0.09,0.092
56,0.829846303264128,0.8130434782608695,0.081,0.09
128,0.832598237180017,0.8173913043478261,0.08,0.088
8,0.838345946003576,0.8217391304347826,0.077,0.085
27,0.84197136114926,0.8260869565217391,0.075,0.083
3,0.843705071236086,0.8304347826086956,0.074,0.081
48,0.845322474350463,0.8347826086956521,0.073,0.078
196,0.859144129063766,0.8391304347826087,0.066,0.076
104,0.860730474284125,0.8434782608695652,0.065,0.074
174,0.86174433120261,0.8478260869565217,0.065,0.072
185,0.864566594832707,0.8521739130434782,0.063,0.069
229,0.868461828939168,0.8565217391304348,0.061,0.067
74,0.868478865246609,0.8608695652173913,0.061,0.065
164,0.869992264197552,0.8652173913043478,0.06,0.063
76,0.876310806494331,0.8695652173913043,0.057,0.061
182,0.877227523983155,0.8739130434782608,0.057,0.059
221,0.879039427665935,0.8782608695652174,0.056,0.056
49,0.879643191256635,0.8826086956521739,0.056,0.054
26,0.879784664764969,0.8869565217391304,0.056,0.052
73,0.881290239790599,0.8913043478260869,0.055,0.05
183,0.892679330959757,0.8956521739130435,0.049,0.048
140,0.895707088312161,0.9,0.048,0.046
39,0.898548665756838,0.9043478260869565,0.046,0.044
218,0.904197917166096,0.908695652173913,0.044,0.042
144,0.904585148889288,0.9130434782608695,0.044,0.04
97,0.912552216868097,0.9173913043478261,0.04,0.037
156,0.916114775081322,0.9217391304347826,0.038,0.035
210,0.925371562140711,0.9260869565217391,0.034,0.033
68,0.925475203429124,0.9304347826086956,0.034,0.031
75,0.927570631089797,0.9347826086956522,0.033,0.029
103,0.930092285891662,0.9391304347826087,0.031,0.027
206,0.940861777295987,0.9434782608695652,0.026,0.025
84,0.944690552647017,0.9478260869565217,0.025,0.023
106,0.947961340461088,0.9521739130434783,0.023,0.021
60,0.949831176761198,0.9565217391304348,0.022,0.019
92,0.951352681621727,0.9608695652173913,0.022,0.017
125,0.952561315386529,0.9652173913043478,0.021,0.015
57,0.955513464383957,0.9695652173913043,0.02,0.013
133,0.956784761875332,0.9739130434782609,0.019,0.011
28,0.962035494617489,0.9782608695652174,0.017,0.01
17,0.965004072721306,0.9826086956521739,0.015,0.008
96,0.97257915701977,0.9869565217391304,0.012,0.006
189,0.973772285837554,0.991304347826087,0.012,0.004
72,0.973822360646589,0.9956521739130435,0.012,0.002
42,0.994065388418363,1.0,0.003,-0.0
