,P,Exp P,Log P,Log Exp P
9,0.162542,0.1,0.789,1.0
5,0.1919837,0.2,0.717,0.699
8,0.255682,0.3,0.592,0.523
3,0.257647,0.4,0.589,0.398
0,0.4446311,0.5,0.352,0.301
6,0.4655195,0.6,0.332,0.222
1,0.4721708,0.7,0.326,0.155
4,0.5432577,0.8,0.265,0.097
2,0.5613497,0.9,0.251,0.046
7,0.6867156,1.0,0.163,-0.0
