,P,Exp P,Log P,Log Exp P
202,0.644711360884033,0.5401785714285714,0.191,0.267
188,0.644844637884943,0.5446428571428571,0.191,0.264
112,0.64525144869482,0.5491071428571429,0.19,0.26
90,0.651697026321561,0.5535714285714286,0.186,0.257
30,0.652026337814856,0.5580357142857143,0.186,0.253
175,0.654612599571382,0.5625,0.184,0.25
180,0.672256970264854,0.5669642857142857,0.172,0.246
207,0.672922881246162,0.5714285714285714,0.172,0.243
126,0.673685217497481,0.5758928571428571,0.172,0.24
166,0.674408436681451,0.5803571428571429,0.171,0.236
25,0.675513500275064,0.5848214285714286,0.17,0.233
105,0.675972322250398,0.5892857142857143,0.17,0.23
206,0.680733256412097,0.59375,0.167,0.226
123,0.684883419576731,0.5982142857142857,0.164,0.223
151,0.685862349337447,0.6026785714285714,0.164,0.22
172,0.686471284421858,0.6071428571428571,0.163,0.217
136,0.689314828001688,0.6116071428571429,0.162,0.214
39,0.690658320453887,0.6160714285714286,0.161,0.21
37,0.700897644713219,0.6205357142857143,0.154,0.207
26,0.705722611873263,0.625,0.151,0.204
74,0.711936552117011,0.6294642857142857,0.148,0.201
145,0.718358732350302,0.6339285714285714,0.144,0.198
160,0.718747858598432,0.6383928571428571,0.143,0.195
93,0.727250080903731,0.6428571428571429,0.138,0.192
57,0.728758221718077,0.6473214285714286,0.137,0.189
139,0.73027868548465,0.6517857142857143,0.137,0.186
185,0.731956075078036,0.65625,0.136,0.183
216,0.732103940750638,0.6607142857142857,0.135,0.18
9,0.734857273333956,0.6651785714285714,0.134,0.177
132,0.743465018928181,0.6696428571428571,0.129,0.174
153,0.743995655303209,0.6741071428571429,0.128,0.171
11,0.751013894958981,0.6785714285714286,0.124,0.168
67,0.758515242340679,0.6830357142857143,0.12,0.166
140,0.759282667613709,0.6875,0.12,0.163
116,0.761141193768327,0.6919642857142857,0.119,0.16
73,0.764628832598914,0.6964285714285714,0.117,0.157
152,0.765940997047417,0.7008928571428571,0.116,0.154
42,0.766973703209264,0.7053571428571429,0.115,0.152
119,0.767208671945541,0.7098214285714286,0.115,0.149
144,0.772776270173306,0.7142857142857143,0.112,0.146
178,0.783038968094619,0.71875,0.106,0.143
69,0.783334224657053,0.7232142857142857,0.106,0.141
187,0.785728489166301,0.7276785714285714,0.105,0.138
86,0.794876794990253,0.7321428571428571,0.1,0.135
68,0.796663796753537,0.7366071428571429,0.099,0.133
104,0.799950955449203,0.7410714285714286,0.097,0.13
33,0.806469246357954,0.7455357142857143,0.093,0.128
72,0.809196586445839,0.75,0.092,0.125
47,0.8105183122701,0.7544642857142857,0.091,0.122
193,0.816602413794314,0.7589285714285714,0.088,0.12
221,0.818967083882079,0.7633928571428571,0.087,0.117
122,0.824492335996908,0.7678571428571429,0.084,0.115
88,0.830713817453387,0.7723214285714286,0.081,0.112
113,0.835088454003324,0.7767857142857143,0.078,0.11
189,0.837779360426254,0.78125,0.077,0.107
5,0.840049498925536,0.7857142857142857,0.076,0.105
82,0.841332568416979,0.7901785714285714,0.075,0.102
222,0.841535870528489,0.7946428571428571,0.075,0.1
17,0.844801115279124,0.7991071428571429,0.073,0.097
169,0.845130603435848,0.8035714285714286,0.073,0.095
46,0.852290957248447,0.8080357142857143,0.069,0.093
83,0.856695503925658,0.8125,0.067,0.09
209,0.857807709809847,0.8169642857142857,0.067,0.088
223,0.857873662025399,0.8214285714285714,0.067,0.085
53,0.863492709306885,0.8258928571428571,0.064,0.083
91,0.868601592999373,0.8303571428571429,0.061,0.081
15,0.86925327383709,0.8348214285714286,0.061,0.078
115,0.877574653175076,0.8392857142857143,0.057,0.076
43,0.879042704177652,0.84375,0.056,0.074
179,0.8845781168352,0.8482142857142857,0.053,0.071
50,0.888284187440931,0.8526785714285714,0.051,0.069
164,0.8883041674533,0.8571428571428571,0.051,0.067
98,0.893199278737724,0.8616071428571429,0.049,0.065
49,0.902562898127941,0.8660714285714286,0.045,0.062
157,0.903682426222287,0.8705357142857143,0.044,0.06
181,0.905412156907498,0.875,0.043,0.058
21,0.911131761930353,0.8794642857142857,0.04,0.056
118,0.920287047978271,0.8839285714285714,0.036,0.054
149,0.92127221775998,0.8883928571428571,0.036,0.051
177,0.924569886341158,0.8928571428571429,0.034,0.049
150,0.925444575730115,0.8973214285714286,0.034,0.047
215,0.932802967392977,0.9017857142857143,0.03,0.045
60,0.93344872612556,0.90625,0.03,0.043
0,0.933621982640125,0.9107142857142857,0.03,0.041
173,0.948652470940199,0.9151785714285714,0.023,0.038
204,0.950975093367652,0.9196428571428571,0.022,0.036
80,0.952840597591834,0.9241071428571429,0.021,0.034
127,0.956007614149655,0.9285714285714286,0.02,0.032
106,0.960471838911014,0.9330357142857143,0.018,0.03
184,0.963965353244682,0.9375,0.016,0.028
35,0.967271482578428,0.9419642857142857,0.014,0.026
199,0.973097645618159,0.9464285714285714,0.012,0.024
52,0.973497272933951,0.9508928571428571,0.012,0.022
213,0.974315802304554,0.9553571428571429,0.011,0.02
208,0.975663131913642,0.9598214285714286,0.011,0.018
205,0.976416234260852,0.9642857142857143,0.01,0.016
61,0.979629952827744,0.96875,0.009,0.014
217,0.986687378401273,0.9732142857142857,0.006,0.012
58,0.987605900401792,0.9776785714285714,0.005,0.01
103,0.990389379683402,0.9821428571428571,0.004,0.008
109,0.998182616182392,0.9866071428571429,0.001,0.006
154,0.998359648722315,0.9910714285714286,0.001,0.004
81,0.998963338651211,0.9955357142857143,0.0,0.002
54,0.99936871543307,1.0,0.0,-0.0
