,P,Exp P,Log P,Log Exp P
195,0.479289369950456,0.3532934131736527,0.319,0.452
24,0.482671282623149,0.3562874251497006,0.316,0.448
249,0.483043039445747,0.3592814371257485,0.316,0.445
252,0.485247302263913,0.36227544910179643,0.314,0.441
287,0.485769558158698,0.3652694610778443,0.314,0.437
281,0.491911005532786,0.36826347305389223,0.308,0.434
180,0.493616821253509,0.3712574850299401,0.307,0.43
283,0.49394418123319,0.37425149700598803,0.306,0.427
81,0.496358595062286,0.3772455089820359,0.304,0.423
58,0.508405101561568,0.38023952095808383,0.294,0.42
109,0.511483461477626,0.38323353293413176,0.291,0.417
196,0.517998756672054,0.38622754491017963,0.286,0.413
119,0.522973121132783,0.38922155688622756,0.282,0.41
0,0.524827399318278,0.39221556886227543,0.28,0.406
178,0.524837090572193,0.39520958083832336,0.28,0.403
173,0.527434898636684,0.39820359281437123,0.278,0.4
5,0.528714788494317,0.40119760479041916,0.277,0.397
331,0.529010552360108,0.4041916167664671,0.277,0.393
139,0.529211241205582,0.40718562874251496,0.276,0.39
233,0.529400110114318,0.4101796407185629,0.276,0.387
11,0.530513883640036,0.41317365269461076,0.275,0.384
302,0.532657729774645,0.4161676646706587,0.274,0.381
218,0.534024988597803,0.41916167664670656,0.272,0.378
274,0.537182900692088,0.4221556886227545,0.27,0.375
2,0.538852804843195,0.4251497005988024,0.269,0.371
64,0.54260052719862,0.4281437125748503,0.266,0.368
86,0.545284036682153,0.4311377245508982,0.263,0.365
208,0.547785583118069,0.4341317365269461,0.261,0.362
205,0.551022336465015,0.437125748502994,0.259,0.359
175,0.55655442849561,0.44011976047904194,0.254,0.356
65,0.565289856652161,0.4431137724550898,0.248,0.353
211,0.566579846535445,0.44610778443113774,0.247,0.351
160,0.567707400361337,0.4491017964071856,0.246,0.348
217,0.567877323250209,0.45209580838323354,0.246,0.345
275,0.570319109992105,0.4550898203592814,0.244,0.342
194,0.570665919401479,0.45808383233532934,0.244,0.339
57,0.570860226113782,0.46107784431137727,0.243,0.336
